ACCTCY-2010:  Introduction to Accounting
BL_STU-1801:  Introduction to Africa and the African Diaspora
BL_STU-2001:  Undergraduate Topics in Black Studies-General
BL_STU-2001H:  Undergraduate Topics in Black Studies-General - Honors
BL_STU-2003:  Undergraduate Topics in Black Studies-Behavioral Science
BL_STU-2003W:  Undergraduate Topics in Black Studies-Behavioral Science - Writing Intensive
BL_STU-2004:  Topics in Black Studies-Social Science
BL_STU-2004H:  Topics in Black Studies-Social Science - Honors
BL_STU-2004W:  Topics in Black Studies-Social Science - Writing Intensive
BL_STU-2005:  Topics in Black Studies - Humanities
BL_STU-2200:  Social Inequalities
BL_STU-2200H:  Social Inequalities- Honors
BL_STU-2210:  The Black Americans
BL_STU-2303:  Studies in Black Relationships
BL_STU-2400:  Introduction to African Diaspora Literature
BL_STU-2405:  Understanding Africa
BL_STU-2409:  Introduction to African Diaspora Literature, 1890-Present
BL_STU-2409W:  Introduction to African Diaspora Literature, 1890 to Present - Writing Intensive
BL_STU-2410:  African American Women in History
BL_STU-2425:  Race and the American Story
BL_STU-2425H:  Race and the American Story - Honors
BL_STU-2601:  Languages of Africa
BL_STU-2604:  Caribbean History and Culture
BL_STU-2700:  Black Studies in Gender, Race, Sexuality, and Class: Intermediate
BL_STU-2704:  African Political Thought
BL_STU-2715:  Studies in Black Culture
BL_STU-2715H:  Studies in Black Culture - Honors
BL_STU-2750:  Black Religion in America
BL_STU-2750H:  Black Religion in America - Honors
BL_STU-2804:  Black Political Thought
BL_STU-2804H:  Black Political Thought - Honors
BL_STU-2830:  Environment and Development in Africa
BL_STU-2904:  Black Studies in Slavery and Freedom
BL_STU-2904H:  Black Studies in Slavery and Freedom - Honors
BL_STU-2975:  Traditions and Concepts in Black Studies
BL_STU-3001:  Undergraduate Topics in Black Studies - General
BL_STU-3003:  Undergraduate Topics in Black Studies - Behavioral Sciences
BL_STU-3004:  Undergraduate Topics in Black Studies - Social Science
BL_STU-3004W:  Undergraduate Topics in Black Studies - Social Science - Writing Intensive
BL_STU-3005:  Undergraduate Topics in Black Studies - Humanities
BL_STU-3022:  Peacebuilding and Peacemaking in the Modern Caribbean
BL_STU-3100:  African American Psychology
BL_STU-3200:  Black Freedom Movement, 1955-1973
BL_STU-3230:  Studies in Black Sexual Politics
BL_STU-3230W:  Studies in Black Sexual Politics-Writing Intensive
BL_STU-3303:  Black Athletes
BL_STU-3400:  Survey of African American Literature, Beginnings to 1900
BL_STU-3400W:  Survey of African American Literature, Beginnings to 1900 - Writing Intensive
BL_STU-3410:  Survey of African American Literature, 1900-Present
BL_STU-3605:  The History of Blacks in Germany
BL_STU-3605H:  The History of Blacks in Germany - Honors
BL_STU-3624:  Comparative Approaches to Black Studies in History
BL_STU-3624W:  Comparative Approaches to Black Studies in History - Writing Intensive
BL_STU-3670:  History of Black Nationalism in the United States
BL_STU-3700:  Black Studies in Gender, Race, Sexuality, and Class: Advanced
BL_STU-3703:  Themes in Black Society
BL_STU-3703H:  Themes in Black Society - Honors
BL_STU-3705:  Themes in Black Culture
BL_STU-3804:  Resistance in the Black Atlantic
BL_STU-3805:  Hip-Hop: Global Music and Culture
BL_STU-3815:  Africa and the World: Studies in African Histories, Cultures and Politics
BL_STU-3977:  Black Studies Methodologies
BL_STU-4001:  Undergraduate Topics in Black Studies-General
BL_STU-4001W:  Undergraduate Topics in Black Studies-General - Writing Intensive
BL_STU-4003:  Topics in Black Studies-Behavioral Science
BL_STU-4004:  Topics in Black Studies-Social Science
BL_STU-4005:  Topics in Black Studies-Humanities
BL_STU-4020:  Studies in Black Feminist Thought
BL_STU-4040:  Slavery and the Crisis of the Union: The American Civil War Era
BL_STU-4130:  African-American Politics
BL_STU-4210:  African-American Religion
BL_STU-4230:  Women, Development, and Globalization
BL_STU-4270:  African-Americans in the Twentieth Century
BL_STU-4300:  The Black Family:  Past, Present and Future
BL_STU-4303:  Black Studies in Race, Class, Gender,  and U.S. Policy
BL_STU-4335:  The Wire: Race, Urban Inequality, and the "Crisis" of the American City
BL_STU-4352:  Historical Studies in African Music
BL_STU-4360:  Working with Minority Youth
BL_STU-4400:  Studies in African Diaspora Literature
BL_STU-4409:  Studies in African Diaspora Literature, 1890 to Present
BL_STU-4415:  African Americans and American Justice
BL_STU-4415W:  African Americans and American Justice - Writing Intensive
BL_STU-4420:  Africana Womanism
BL_STU-4480:  Major African Diaspora Women Writers
BL_STU-4488:  Major African Diaspora Women Writers, 1789 to 1890
BL_STU-4489:  Major African Diaspora Women Writers, 1890 to Present
BL_STU-4489W:  Major African Diaspora Women Writers, 1890 to Present - Writing Intensive
BL_STU-4500:  Special Problems in Black Studies
BL_STU-4604:  Advanced Studies in Black Politics
BL_STU-4640:  African Politics
BL_STU-4640W:  African Politics - Writing Intensive
BL_STU-4704:  Religion and Black Freedom
BL_STU-4705:  Advanced Studies and Themes in Black Culture
BL_STU-4710:  Themes in African Diaspora Folklore
BL_STU-4773:  Pan Africanism
BL_STU-4804:  Historical Studies of Black Women
BL_STU-4825:  Africa from the Slave Trade to Independence
BL_STU-4835:  Race and Politics in South Africa
BL_STU-4835H:  Race and Politics in South Africa - Honors
BL_STU-4875:  Black Studies: Study Abroad-Humanities
BL_STU-4877:  Black Studies: Study Abroad-Social Science
BL_STU-4904:  Historical and Contemporary Slavery
BL_STU-4975:  Black Studies Internship
BL_STU-4977:  Black Studies Capstone
BL_STU-7020:  Studies in Black Feminist Thought
BL_STU-7022:  Peacebuilding and Peacemaking in the Modern Caribbean
BL_STU-7270:  African-Americans in the Twentieth Century
BL_STU-7300:  The Black Family:  Past, Present and Future
BL_STU-7303:  Black Studies in Race, Class, Gender, and U.S. Policy
BL_STU-7335:  The Wire: Race, Urban Inequality, and the "Crisis" of the American City
BL_STU-7400:  Studies in African Diaspora Literature
BL_STU-7409:  Studies in African Diaspora Literature, 1890 to Present
BL_STU-7420:  Africana Womanism
BL_STU-7480:  Major African Diaspora Women Writers
BL_STU-7604:  Advanced Studies in Black Politics
BL_STU-7705:  Advanced Studies and Themes in Black Culture
BL_STU-7773:  Pan Africanism
BL_STU-7825:  Africa from the Slave Trade to Independence
BL_STU-7835:  Race and Politics in South Africa
BL_STU-7975:  Black Studies Internship
BL_STU-8000:  Independent Readings in Black Studies
BL_STU-8001:  Graduate Seminar in Black Studies
BL_STU-8400:  Seminar in African Diaspora Literature
BL_STU-8415:  Readings in African-American History
BL_STU-8510:  Ecology, Conservation, and Environmental Justice
BL_STU-8901:  Graduate Topics in Black Studies
BUS_AD-1500:  Foundations of Business and Professional Development Principles
BUS_AD-1500H:  Foundations of Business and Professional Development Principles - Honors
BUS_AD-2500:  Intermediate Professional Development Principles
BUS_AD-2500H:  Intermediate Professional Development Principles - Honors
BUS_AD-3500:  Advanced Professional Development Principles
BUS_AD-4500:  Professional Development Program - Internship
BUS_AD-7050:  MBA Communications Practice
BUS_AD-7340:  Business Ethics and Leadership
BUS_AD-8001:  Topics in Business Administration
BUS_AD-8010:  MBA Seminar
BUS_AD-8020:  MBA Seminar
BUS_AD-8030:  MBA Seminar
BUS_AD-8500:  Business Problem Analysis: Field Project
BUS_AD-8600:  Business Consulting
BUS_AD-8730:  International Study Abroad
CH_ENG-1000:  Introduction to Chemical Engineering
CH_ENG-1000H:  Introduction to Chemical Engineering - Honors
CH_ENG-2225:  Mass and Energy Balance
CH_ENG-2225H:  Mass and Energy Balance - Honors
CH_ENG-2226:  Engineering Process Computations
CH_ENG-2303:  Harnessing the Atom in Everyday Life: Fulfill M Curie's Dream
CH_ENG-3075:  Introduction to Materials Engineering
CH_ENG-3233:  Chemical Engineering Fluid Dynamics
CH_ENG-3234:  Heat and Mass Transfer
CH_ENG-3235:  Separation Processes
CH_ENG-3243:  Chemical Engineering Laboratory I
CH_ENG-3243W:  Chemical Engineering Laboratory I - Writing Intensive
CH_ENG-3261:  Chemical Engineering Thermodynamics I
CH_ENG-3262:  Chemical Engineering Thermodynamics II
CH_ENG-3307:  Chemical Process Safety and Professional Ethics
CH_ENG-4001:  Topics in Chemical Engineering
CH_ENG-4085:  Problems in Chemical Engineering
CH_ENG-4160:  Food Process Engineering
CH_ENG-4220:  Hazardous Waste Management
CH_ENG-4231:  Transport Phenomena in Materials Processing
CH_ENG-4232:  Ceramic Materials and Processing
CH_ENG-4235:  Advanced Separation Processes
CH_ENG-4270:  Design of Experiments and Statistical Quality Control for Process Engineers
CH_ENG-4285:  Pollution Prevention
CH_ENG-4306:  Advanced Engineering Math
CH_ENG-4311:  Chemodynamics
CH_ENG-4312:  Air Pollution Control
CH_ENG-4315:  Principles of Biochemical Engineering
CH_ENG-4316:  Biomass Refinery Operations
CH_ENG-4317:  Chemical Processing in Semiconductor Device
CH_ENG-4318:  Energy Technology and Sustainability
CH_ENG-4318H:  Energy Technology and Sustainability - Honors
CH_ENG-4319:  Introduction to Polymers
CH_ENG-4335:  Intermediate Transport Phenomena
CH_ENG-4360:  Biomanufacturing Technologies
CH_ENG-4363:  Chemical Reaction Engineering and Technology
CH_ENG-4370:  Process Dynamics and Control
CH_ENG-4385:  Chemical Engineering Design I
CH_ENG-4401:  Finite Element Methods in Chemical Engineering
CH_ENG-4464:  Electrochemical Science and Technology
CH_ENG-4980:  Process Synthesis and Design
CH_ENG-4980W:  Process Synthesis and Design - Writing Intensive
CH_ENG-4990:  Undergraduate Research in Chemical Engineering
CH_ENG-4995:  Undergraduate Research in Chemical Engineering - Honors
CH_ENG-7001:  Topics in Chemical Engineering
CH_ENG-7160:  Food Process Engineering
CH_ENG-7220:  Hazardous Waste Management
CH_ENG-7231:  Transport Phenomena in Materials Processing
CH_ENG-7232:  Ceramic Materials and Processing
CH_ENG-7235:  Advanced Separation Processes
CH_ENG-7270:  Design of Experiments and Statistical Quality Control for Process Engineers
CH_ENG-7311:  Chemodynamics
CH_ENG-7312:  Air Pollution Control
CH_ENG-7315:  Principles of Biochemical Engineering
CH_ENG-7316:  Biomass Refinery Operation
CH_ENG-7317:  Chemical Processing in Semiconductor Device
CH_ENG-7318:  Energy Technology and Sustainability
CH_ENG-7319:  Introduction to Polymers
CH_ENG-7335:  Intermediate Transport Phenomena
CH_ENG-7360:  Biomanufacturing Technologies
CH_ENG-7401:  Finite Element Methods in Chemical Engineering
CH_ENG-7464:  Electrochemical Science and Technology
CH_ENG-7980:  Synthesis and Design of Chemical Process
CH_ENG-8001:  Advanced Topics in Chemical Engineering
CH_ENG-8029:  Advanced Plasma Processing
CH_ENG-8085:  Problems in Chemical Engineering
CH_ENG-8087:  Seminar in Chemical Engineering
CH_ENG-8230:  Advanced Ceramic Materials
CH_ENG-8336:  Advanced Heat and Momentum Transfer
CH_ENG-8337:  Advanced Mass Transfer
CH_ENG-8338:  Analysis of Equilibrium Stage Processes
CH_ENG-8451:  Advanced Chemical Engineering Thermodynamics I
CH_ENG-8452:  Advanced Chemical Engineering Thermodynamics II
CH_ENG-8463:  Chemical Reaction Engineering Science
CH_ENG-8470:  Mathematical Studies of Chemical Engineering Operation
CH_ENG-8990:  Research-Masters Thesis in Chemical Engineering
CH_ENG-9990:  Research-Doctoral Dissertation in Chemical Engineering
CHEM-1000:  Introductory Chemistry
CHEM-1100:  Atoms and Molecules with Lab
CHEM-1100H:  Atoms and Molecules with Laboratory - Honors
CHEM-1320:  College Chemistry I
CHEM-1320H:  College Chemistry I - Honors
CHEM-1330:  College Chemistry II
CHEM-1330H:  College Chemistry II- Honors
CHEM-1400:  College Chemistry I
CHEM-1401:  College Chemistry I Laboratory
CHEM-1410:  College Chemistry II
CHEM-1411:  College Chemistry II Laboratory
CHEM-2030:  Survey of Organic Chemistry
CHEM-2100:  Organic Chemistry I
CHEM-2100H:  Organic Chemistry I - Honors
CHEM-2110:  Organic Chemistry II
CHEM-2110H:  Organic Chemistry II   - Honors
CHEM-2130:  Organic Laboratory I
CHEM-2130H:  Organic Laboratory I - Honors
CHEM-2140:  Organic Laboratory II
CHEM-2170H:  Honors Organic Chemistry II with Lab - Honors
CHEM-2400:  Fundamentals of Inorganic Chemistry with Lab
CHEM-2950:  Undergraduate Research in Chemistry
CHEM-3200:  Quantitative Methods of Analysis with Lab
CHEM-3300:  Fundamentals of Physical Chemistry
CHEM-3700:  Undergraduate Seminar in Chemistry
CHEM-3700W:  Undergraduate Seminar in Chemistry - Writing Intensive
CHEM-3800:  Internship in Chemistry
CHEM-3820:  Introduction to Archaeological Chemistry
CHEM-4001:  Topics in Chemistry - General
CHEM-4010:  Advanced Chemistry Laboratory
CHEM-4050:  Problems in Chemistry
CHEM-4160:  Intermediate Organic Chemistry
CHEM-4170:  Medicinal Chemistry
CHEM-4200:  Instrumental Methods of Analysis with Lab
CHEM-4280:  Environmental Chemistry
CHEM-4310:  Physical Chemistry I
CHEM-4330:  Physical Chemistry II
CHEM-4330H:  Physical Chemistry II - Honors
CHEM-4340:  Physical Chemistry Laboratory
CHEM-4400:  Inorganic Chemistry
CHEM-4490:  Physics and Chemistry of Materials
CHEM-4600:  Introduction to Radiochemistry with Lab
CHEM-4800:  Chemistry Teaching Practicum
CHEM-4950:  Senior Research
CHEM-4990H:  Senior Honors Research I
CHEM-4991H:  Senior Honors Research II
CHEM-7087:  Seminar in Chemistry for Beginning Graduate Students
CHEM-7200:  Instrumental Methods of Analysis with Lab
CHEM-7300:  Intermediate Physical Chemistry
CHEM-7400:  Inorganic Chemistry
CHEM-7490:  Physics and Chemistry of Materials
CHEM-8003:  Topics in Chemistry - Natural Science
CHEM-8050:  Non-Thesis Research in Chemistry
CHEM-8085:  Topics in Chemistry
CHEM-8087:  Seminar in Chemistry
CHEM-8090:  Thesis/Dissertation (pre-candidacy) Research in Chemistry
CHEM-8150:  Organic Reaction Mechanisms
CHEM-8160:  Organic Spectroscopy
CHEM-8170:  Applications of the Reactions of Organic Chemistry
CHEM-8210:  Analytical Measurement
CHEM-8230:  Separations and Chromatography
CHEM-8240:  Mass Spectrometry
CHEM-8250:  Analytical Spectroscopy
CHEM-8260:  Surface Analysis and Characterization
CHEM-8265:  Fluorescence Spectroscopy
CHEM-8270:  Advanced Analytical Chemistry
CHEM-8280:  Bioanalytical Chemistry
CHEM-8285:  Nanochemistry
CHEM-8310:  Quantum Chemistry
CHEM-8320:  Chemical Kinetics
CHEM-8330:  Computational Chemistry
CHEM-8340:  Statistical Mechanics
CHEM-8360:  Atomic-Scale Simulations
CHEM-8370:  Introduction to Astrochemistry
CHEM-8410:  Chemistry of the Main Group Elements
CHEM-8420:  Supramolecular Chemistry
CHEM-8430:  Coordination Chemistry and Reactivity
CHEM-8440:  Inorganic Structural Methods
CHEM-8450:  Organometallics
CHEM-8470:  Actinide Chemistry
CHEM-8480:  Chemistry of Nanomaterials
CHEM-8600:  Radiochemistry and Detection with Lab
CHEM-8610:  Advanced Radiochemistry
CHEM-8630:  Radiopharmaceutical Chemistry
CHEM-8640:  Biological Radiochemistry
CHEM-9090:  Post-candidacy Dissertation Research in Chemistry
CH_HTH-6000:  Child Health Clerkship
CH_HTH-6010:  Rural Child Health Clerkship
CH_HTH-6020:  Springfield Child Health Clerkship
CH_HTH-6037:  SCC Pediatric Intensive Care
CH_HTH-6043:  SCC Pediatric Allergy and Immunology
CH_HTH-6045:  SCC Neonatal Intensive Care Unit Selective
CH_HTH-6055:  Springfield Pediatric Endocrinology
CH_HTH-6060:  LINC Child Health Clerkship
CH_HTH-6100:  Remediation Child Health Clerkship
CH_HTH-6109:  Re-Remediation of Child Health Clerkship
CH_HTH-6120:  Remediation of Springfield Child Health Clerkship
CH_HTH-6160:  LINC Remediation Child Health Clerkship
CH_HTH-6221:  Advanced Biomedical Science Medicine Problem Premature Infant
CH_HTH-6223:  ABS Child Health Research
CH_HTH-6225:  ABS Child Health Research and Review
CH_HTH-6425:  Child Health Genetics
CH_HTH-6426:  Child Health Infectious Disease
CH_HTH-6427:  Pediatric Hematology/Oncology
CH_HTH-6428:  Pediatric Diabetes and Endocrinology
CH_HTH-6429:  Developmental Pediatrics
CH_HTH-6430:  Pediatric Cardiology
CH_HTH-6431:  Pediatric Pulmonology
CH_HTH-6432:  Pediatric Gastroenterology
CH_HTH-6434:  Child Adolescent Medicine
CH_HTH-6435:  Ped Renal and Rheumatology
CH_HTH-6726:  Child Health Rural Elective
CH_HTH-6825:  General Child Health - Inpatient
CH_HTH-6826:  General Child Health - Outpatient
CH_HTH-6827:  Neonatology/Neonatal Intensive Care Unit
CH_HTH-6828:  Pediatric Intensive Care Unit
CH_HTH-6829:  Pediatric Neurology
CH_HTH-6830:  Springfield Pediatric Neurology
CH_HTH-6912:  Introduction to Adolescent Medicine
CH_HTH-6913:  Introduction to Pediatric Endocrinology
CH_HTH-6951:  SCC Pediatric Allergy and Immunology 2 week
CH_HTH-6953:  Springfield Neonatal Intensive Care Unit 2-Week
CH_HTH-6965:  Springfield Intro to Pediatric Endocrinology
CHINSE-1100:  Elementary Chinese I
CHINSE-1200:  Elementary Chinese II
CHINSE-2100:  Everyday Spoken Chinese Level I
CHINSE-2160:  Intermediate Chinese I Conversation and Composition
CHINSE-2310:  Chinese Civilization I
CHINSE-2330:  Chinese Language and Culture
CHINSE-3001:  Topics in Chinese - General
CHINSE-3005:  Topics in Chinese - Humanities
CHINSE-3005H:  Topics in Chinese - Humanities - Honors
CHINSE-3085:  Problems in Chinese
CHINSE-3160:  Intermediate Chinese II Conversation and Composition
CHINSE-3170:  Everyday Spoken Chinese Level II
CHINSE-3180:  Advanced Chinese I
CHINSE-3190:  Advanced Chinese II
CHINSE-3300:  Chinese Traditions and Global Integration
CHINSE-3300H:  Chinese Traditions and Global Integration - Honors
CHINSE-3310:  Chinese Poetry
CHINSE-3320:  Modern and Contemporary Chinese Fiction (in translation)
CHINSE-3400:  Negotiating Chinese Culture
CHINSE-3400W:  Negotiating Chinese Culture - Writing Intensive
CHINSE-3880:  Contemporary Chinese Film
CHINSE-4730:  Chinese Teaching Methods
CV_ENG-1000:  Introduction to Civil Engineering
CV_ENG-1001:  Experimental Course
CV_ENG-2001:  Experimental Course
CV_ENG-2080:  Introduction to Dynamics
CV_ENG-2800:  Introduction to Engineering Sustainability
CV_ENG-3010:  Decision Methods for Civil Engineering Design
CV_ENG-3010W:  Decision Methods for Civil Engineering Design - Writing Intensive
CV_ENG-3050:  Introduction to Geographic Information Systems GIS
CV_ENG-3100:  Fundamentals of Transportation Engineering
CV_ENG-3200:  Fundamentals of Environmental Engineering
CV_ENG-3250:  Pollutant Fate and Transport
CV_ENG-3300:  Structural Analysis I
CV_ENG-3300H:  Structural Analysis I - Honors
CV_ENG-3312:  Reinforced Concrete Design
CV_ENG-3313:  Structural Steel Design
CV_ENG-3400:  Fundamentals of Geotechnical Engineering
CV_ENG-3600:  Civil Engineering Materials
CV_ENG-3700:  Fluid Mechanics
CV_ENG-3702:  Fundamentals of Water Resources Engineering
CV_ENG-4001:  Topics in Civil Engineering
CV_ENG-4006:  Computational Methods in Civil Engineering
CV_ENG-4008:  Risk and Reliability for Civil Engineers
CV_ENG-4085:  Problems in Civil and Environmental Engineering
CV_ENG-4100:  Traffic Engineering
CV_ENG-4104:  Pavement Materials and Design
CV_ENG-4105:  Asphalt Materials and Mixture Design
CV_ENG-4106:  Intelligent Transportation Systems
CV_ENG-4110:  Transportation Simulation
CV_ENG-4120:  Airport Engineering
CV_ENG-4125:  Transportation Legal Issues
CV_ENG-4130:  Transportation Safety
CV_ENG-4145:  Civil and Environmental Engineering Legal Issues
CV_ENG-4155:  Transportation Geography
CV_ENG-4175:  The Geospatial Science in National Security
CV_ENG-4185:  Location Analysis/Site Selection
CV_ENG-4190:  Infrastructure Project Development
CV_ENG-4220:  Hazardous Waste Management
CV_ENG-4230:  Introduction to Water Quality
CV_ENG-4232:  Water and Wastewater Treatment Facilities
CV_ENG-4240:  Water Quality Analysis
CV_ENG-4245:  Environmental Chemistry for Engineers
CV_ENG-4250:  Environmental Regulatory Compliance
CV_ENG-4270:  Environmental Engineering Microbiology
CV_ENG-4286:  Environmental Sustainability
CV_ENG-4290:  Water and Wastewater Treatment Engineering
CV_ENG-4300:  Advanced Structural Steel Design
CV_ENG-4302:  Prestressed/Advanced Reinforced Concrete
CV_ENG-4320:  Energy Methods in Mechanics
CV_ENG-4330:  Structural System Design
CV_ENG-4350:  Matrix Methods of Structural Analysis
CV_ENG-4360:  Bridge Engineering
CV_ENG-4365:  Design of Structures for Blast and Fire
CV_ENG-4404:  Geotechnical Earthquake Engineering
CV_ENG-4406:  Geotechnics of Landfill Design
CV_ENG-4410:  Foundation Engineering
CV_ENG-4412:  Applied Geotechnical Engineering
CV_ENG-4500:  Introduction to Construction Management
CV_ENG-4600:  Advanced Mechanics of Materials
CV_ENG-4610:  Sensors and Experimental Stress Analysis
CV_ENG-4660:  Vibration Analysis
CV_ENG-4692:  Introduction to Structural Dynamics
CV_ENG-4700:  Hydraulics of Open Channels
CV_ENG-4710:  Soil and Water Conservation Engineering
CV_ENG-4720:  Watershed Modeling Using GIS
CV_ENG-4730:  Hydraulic Design
CV_ENG-4740:  Irrigation and Drainage Engineering
CV_ENG-4980:  Civil Engineering Systems Design
CV_ENG-4980W:  Civil Engineering Systems Design - Writing Intensive
CV_ENG-4990:  Undergraduate Research in Civil and Environmental Engineering
CV_ENG-4995:  Research in Civil and Environmental Engineering-Undergraduate Honors
CV_ENG-7001:  Topics in Civil Engineering
CV_ENG-7002:  Analysis of Civil Engineering Decisions
CV_ENG-7003:  Optimization of Civil Engineering Systems
CV_ENG-7004:  Engineering Administration
CV_ENG-7006:  Computational Methods in Civil Engineering
CV_ENG-7007:  Quality Management in Civil Engineering
CV_ENG-7008:  Risk and Reliability for Civil Engineers
CV_ENG-7080:  Advanced Surveying
CV_ENG-7082:  Property Boundary Location
CV_ENG-7100:  Traffic Engineering
CV_ENG-7104:  Pavement Materials and Design
CV_ENG-7105:  Asphalt Materials and Mixture Design
CV_ENG-7106:  Intelligent Transportation Systems
CV_ENG-7109:  Urban Development and Planning
CV_ENG-7110:  Transportation Simulation
CV_ENG-7120:  Airport Engineering
CV_ENG-7125:  Transportation Legal Issues
CV_ENG-7130:  Transportation Safety
CV_ENG-7145:  Civil and Environmental Engineering Legal Issues
CV_ENG-7155:  Transportation Geography
CV_ENG-7160:  Urban Transportation Data Science
CV_ENG-7165:  Geographic Information Systems I
CV_ENG-7175:  The Geospatial Sciences in National Security
CV_ENG-7185:  Location Analysis/Site Selection
CV_ENG-7190:  Infrastructure Project Development
CV_ENG-7200:  Remote Sensing of the Environment
CV_ENG-7220:  Hazardous Waste Management
CV_ENG-7230:  Introduction to Water Quality
CV_ENG-7232:  Water and Wastewater Treatment Facilities
CV_ENG-7240:  Water Quality Analysis
CV_ENG-7245:  Environmental Chemistry for Engineers
CV_ENG-7250:  Environmental Regulatory Compliance
CV_ENG-7260:  Environmental Public Policy
CV_ENG-7270:  Environmental Engineering Microbiology
CV_ENG-7286:  Environmental Sustainability
CV_ENG-7290:  Water and Wastewater Treatment Engineering
CV_ENG-7300:  Advanced Structural Steel Design
CV_ENG-7302:  Prestressed/Advanced Reinforced Concrete
CV_ENG-7310:  Structural Design and Analysis
CV_ENG-7320:  Energy Methods in Mechanics
CV_ENG-7330:  Structural System Design
CV_ENG-7350:  Matrix Methods of Structural Analysis
CV_ENG-7360:  Bridge Engineering
CV_ENG-7365:  Design of Structures for Blast and Fire
CV_ENG-7404:  Geotechnical Earthquake Engineering
CV_ENG-7410:  Foundation Engineering
CV_ENG-7412:  Applied Geotechnical Engineering
CV_ENG-7500:  Introduction to Construction Management
CV_ENG-7510:  Construction Methods and Equipment
CV_ENG-7520:  Construction Contracting
CV_ENG-7600:  Advanced Mechanics of Materials
CV_ENG-7610:  Sensors and Experimental Stress Analysis
CV_ENG-7660:  Vibration Analysis
CV_ENG-7680:  Introduction to the Finite Element Method
CV_ENG-7692:  Introduction to Structural Dynamics
CV_ENG-7700:  Hydraulics of Open Channels
CV_ENG-7702:  Pipeline Engineering
CV_ENG-7703:  Applied Hydrology
CV_ENG-7710:  Soil and Water Conservation Engineering
CV_ENG-7720:  Watershed Modeling Using GIS
CV_ENG-7730:  Hydraulic Design
CV_ENG-7740:  Irrigation and Drainage Engineering
CV_ENG-7792:  Analysis of Water-Resource Systems
CV_ENG-8001:  Advanced Topics in Civil Engineering
CV_ENG-8002:  Directed Reading In Civil Engineering
CV_ENG-8085:  Problems in Civil Engineering
CV_ENG-8100:  Transportation Planning and Models
CV_ENG-8105:  Advanced Asphalt Materials
CV_ENG-8106:  Advanced Intelligent Transportation Systems
CV_ENG-8107:  Transportation Safety Modeling
CV_ENG-8110:  Theory of Traffic Flow
CV_ENG-8140:  Highway Transportation
CV_ENG-8150:  Transportation Networks
CV_ENG-8160:  Advanced Research Methods in Transportation Engineering
CV_ENG-8187:  Seminar in Transportation Engineering
CV_ENG-8200:  Water Quality Modeling
CV_ENG-8215:  Environmental Transport Phenomena
CV_ENG-8220:  Advanced Hazardous Waste Treatment Processes
CV_ENG-8225:  Aquatic Chemistry
CV_ENG-8230:  Unit Process Laboratory
CV_ENG-8240:  Physicochemical Treatment Processes
CV_ENG-8245:  Particles in the Environment
CV_ENG-8250:  Biochemical Treatment Processes
CV_ENG-8260:  Environmental Biotechnology
CV_ENG-8270:  Design of Water and Wastewater Treatment Facilities
CV_ENG-8287:  Seminar in Environmental Engineering
CV_ENG-8295:  Environmental Regulatory Policy
CV_ENG-8303:  Behavior of Reinforced Concrete Members
CV_ENG-8311:  Nondestructive Evaluation Engineering
CV_ENG-8312:  Advanced Structural Analysis
CV_ENG-8313:  Random Vibration
CV_ENG-8320:  Continuum Mechanics
CV_ENG-8330:  Theory of Elasticity
CV_ENG-8340:  Theory of Plates and Shells
CV_ENG-8342:  Space Mechanics
CV_ENG-8350:  Theory of Elastic Stability
CV_ENG-8360:  Theory of Plasticity
CV_ENG-8372:  Reinforced Concrete Theory and Design
CV_ENG-8380:  Nonlinear Mechanical Analysis
CV_ENG-8387:  Seminar in Structural Engineering
CV_ENG-8390:  Advanced Topics Structural Analysis
CV_ENG-8392:  Dynamics of Structures
CV_ENG-8402:  Advanced Shear Strength of Soils
CV_ENG-8403:  Consolidation and Settlement
CV_ENG-8404:  Seepage in Soils
CV_ENG-8407:  Soil Behavior
CV_ENG-8408:  Soil Dynamics
CV_ENG-8410:  Advanced Foundation Engineering
CV_ENG-8412:  Stability and Performance of Earth Slopes
CV_ENG-8413:  Design and Analysis of Earth Retaining Structures
CV_ENG-8487:  Seminar in Geotechnical Engineering
CV_ENG-8610:  Materials and Measurement
CV_ENG-8620:  Advanced Dynamics
CV_ENG-8630:  Vibrations of Distributed Parameter Systems
CV_ENG-8720:  Hydrotechnical Practicum
CV_ENG-8770:  Environmental Hydraulics
CV_ENG-8990:  Research-Masters Thesis in Civil & Environmental Engineering
CV_ENG-9990:  Research-Doctoral Dissertation Civil & Environmental Engineering
CDS-2190:  Medical Terminology
CDS-2190H:  Medical Terminology - Honors
CDS-3200:  Essentials of Pathology
CDS-3460:  Cardiovascular and Pulmonary Diagnostic Applications I
CDS-3460W:  Cardiovascular and Pulmonary Diagnostic Applications I - Writing Intensive
CDS-4085:  Problems in Clinical and Diagnostic Sciences
CDS-4328:  Radiation Safety and Biology
CDS-4440:  Organization and Administration
CDS-4460:  Cardiovascular and Pulmonary Diagnostic Applications II
CDS-4480:  Clinical Ethics
CDS-4480W:  Clinical Ethics - Writing Intensive
CDS-4500:  Emergency and Disaster Management in Healthcare
CDS-4840:  Asthma Education
CDS-4955:  Introduction to Research
CDS-4955W:  Introduction to Research - Writing Intensive
CDS-4985:  Healthcare Organization and Leadership
CDS-4985W:  Healthcare Organization and Leadership - Writing Intensive
CDS-7480:  Clinical Ethics
CDS-7500:  Emergency and Disaster Management in Healthcare
